28771,Esterase XXVII. Purification and characterization of esterase-9A of mouse kidney.,"Animals;Carboxylic Ester Hydrolases;Electrophoresis, Polyacrylamide Gel;Hydrogen-Ion Concentration;Kidney;Kinetics;Male;Mice;Molecular Weight;Nitrophenols;Organophosphorus Compounds;Phenylpropionates;Protein Conformation"
25743,The role of Ci- ions in the neurotransmitter and redox regulation of ion movements through isolated frog skin.,Animals;Anura;Ascorbic Acid;Biological Transport;Chlorides;Electric Conductivity;In Vitro Techniques;Ions;Methylene Blue;Neurotransmitter Agents;Oxidation-Reduction;Ranidae;Skin
29701,"Abstracts of the XIII Canadian Congress of Neurological Sciences, Vancouver, British Columbia, June 21-24, 1978.",Animals;British Columbia;Central Nervous System Diseases;Congresses as Topic;Humans
26264,[Expectations of participants in gerontological in-service courses as a didactic problem (author's transl)].,"Geriatrics;Germany, West;Humans;Interpersonal Relations;Research;Social Work;Vocational Education"
22678,The effect of CTAB on the radiation sensitivity of benzocaine to hydrated electrons and hydroxyl radicals in aqueous solution [proceedings].,Benzocaine;Cetrimonium Compounds;Electrons;Free Radicals;Quaternary Ammonium Compounds;Solutions;Water
57367,Letter: Mortality from lung cancer.,England;Female;Humans;Lung Neoplasms;Sex Factors;Smoking
56043,Editorial: Alpha-fetoprotein and prenatal diagnosis of congenital abnormalities.,Anencephaly;Female;Fetal Proteins;Humans;Meningomyelocele;Pregnancy;Prenatal Diagnosis;alpha-Fetoproteins
52688,Low temperature slowing and cold-block of fast axoplasmic transport in mammalian nerves in vitro.,Adenosine Triphosphate;Animals;Axonal Transport;Cats;Cold Temperature;In Vitro Techniques;Phosphocreatine;Sciatic Nerve;Spinal Nerves;Time Factors
57449,Place of azathioprine for Crohn's disease.,"Adrenal Cortex Hormones;Azathioprine;Crohn Disease;Drug Evaluation;Follow-Up Studies;Humans;Recurrence;Remission, Spontaneous;Time Factors"
54122,[Hypothalamo-hypophysial-thymic axis in the rat].,"Animals;DNA;Growth Hormone;Hypothalamo-Hypophyseal System;Male;Mice;Mice, Inbred BALB C;RNA;Rats;Thymus Gland"
83802,Halothane--a behavioral teratogen?,"Abnormalities, Drug-Induced;Child;Child Behavior Disorders;Developmental Disabilities;Female;Halothane;Humans;Pregnancy"
88797,Sarcoma virus-induced transformation specific antigen: presence of antibodies in cats that were naturally exposed to leukemia virus.,"Animals;Antibodies, Viral;Antigens, Viral;Cats;Cell Line;Cell Membrane;Cell Transformation, Neoplastic;Cell Transformation, Viral;Epitopes;Fluorescent Antibody Technique;Leukemia Virus, Feline;Retroviridae"
89617,The prevention of rhesus disease.,"Erythroblastosis, Fetal;Female;Humans;Infant, Newborn;Pregnancy;Rh-Hr Blood-Group System;gamma-Globulins"
83841,Current fluctuations in toad gall-bladder [proceedings].,Animals;Anura;Cell Membrane;Electric Conductivity;Gallbladder;Membrane Potentials;Ouabain
82500,Freeze preservation of platelets using hydroxyethyl starch (HES); a preliminary report.,Blood Platelets;Blood Preservation;Blood Transfusion;Cell Survival;Cryoprotective Agents;Dimethyl Sulfoxide;Freezing;Humans;Hydroxyethyl Starch Derivatives;Platelet Factor 3;Platelet Transfusion;Starch
118261,How effective is 'high-speed' autoradiography?,Animals;Autoradiography;Cell Nucleus;DNA;Oxazoles;Photofluorography;Tetrahymena pyriformis;Thymidine;Tritium
