The correlations between aging and drug effects (author's transl).,Cysteamine,Typhaceae
Reflux esophagitis.,Esophagus,Regeneration
Letter: Should the proceedings of symposia be published?,Congresses as Topic,Methylophilus methylotrophus
The oxygen transport system of red blood cells during diabetic ketoacidosis and recovery.,Hemoglobins,Tanzania
Neuropharmacology of amino acid inhibitory transmitters.,Baclofen,Tylenchoidea
"2,3,7,8-Tetrachlorodibenzofuran in a commercially available 99% pure polychlorinated biphenyl isomer identified as the inducer of hepatic cytochrome P-448 and aryl hydrocarbon hydroxylase in the rat.",Cytochromes,"Fats, Unsaturated"
"Report of the joint meeting of the International Organisation against Trachoma and of La Ligue Contre le Trachome and of the International Agency for the Prevention of Blindness organised Friday, April 9th, 1976, at the University Clinic of Pr. Sautter in Hamburg (West Germany).","Societies, Medical",Infusion Pumps
Polyarteritis nodosa presenting with bilateral nerve deafness.,Polyarteritis Nodosa,Bucrylate
Alkaline endonuclease(s) activity in the thymus and spleen of normal and irradiated mice.,Cobalt Radioisotopes,Tilorone
A fluorometric method to assay chloramphenicol.,Methods,Spirit Possession
Megaloblastic anaemia associated with sulphasalazine treatment.,Sulfasalazine,"Steroids, Chlorinated"
The pH dependency of sodium and chloride transport in the isolated human cornea.,Cornea,Nostrums
Stimulation of erythropoiesis by beta adrenergic agonists. I. Characterization of activity in polycythemic mice.,Adrenergic beta-Agonists,Histidinol
Purification and properties of NADPH-dependent aldehyde reductase from human liver.,Alcohol Oxidoreductases,Drug Stability
The effect of retinal-image movements on vision. II. Oscillatory movements.,Retinal Vessels,Peer Review
The supply of physicians and physicians' incomes: some projections.,"Education, Medical, Graduate",Chlorphentermine
"Purification and properties of lung lysyl oxidase, a copper-enzyme.",Amino Acid Oxidoreductases,Holarrhena
"Influence of sewage discharge on nitrogen fixation and nitrogen flux from coral reefs in Kaneohe Bay, Hawaii.",Azotobacter,"Biopsy, Large-Core Needle"
Double pelvic ring fracture combined with fracture of the femoral neck.,"Fracture Fixation, Internal",Fermentation
Genetics and etiology of human cancer.,"Chromosomes, Human, 21-22 and Y","Carcinoma, Bronchogenic"
Increase of serum gamma-GT activity in alcoholism and chronic abuse of hypnotics (author's transl).,Chronic Disease,Coliphages
Concepts in morphogenesis.,Embryology,Molecular Motor Proteins
Changes in the electric dipole vector of human serum albumin due to complexing with fatty acids.,Mathematics,Fuselloviridae
Protection of the myocardium by hypothermia during extracorporeal circulation. Experimental and clinical study.,"Hypothermia, Induced",S-Nitrosoglutathione
Transfusion in case of disasters.,Blood Banks,Proguanil
Enzymic studies on glial and neuronal cells during myelination.,NAD,Pseudophakia
Consumer information activities in old age (author's transl).,Consumer Behavior,Nuclear Export Signals
Modification of the noradrenaline related effects of smoking by beta-blockade.,Epinephrine,Chediak-Higashi Syndrome
Light-dependent cation gradients and electrical potential in Halobacterium halobium cell envelope vesicles.,Electron Transport,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Effect of denervation and local damage on extrajunctional L-glutamate receptors in locust muscle.,Ibotenic Acid,Boston
Membrane bioenergetic parameters in uncoupler-resistant mutants of Bacillus megaterium.,Bacillus megaterium,Flocculation
Does cocaine have a post-synaptic action on rat anococcygeus muscle?,Norepinephrine,Blood-Aqueous Barrier
The search for a nonaddicting analgesic: has it been worth it? The twenty-third Oscar B. Hunter Memorial Award in Therapeutics lecture.,"Drug Evaluation, Preclinical",Dipetalonema Infections
Debrisoquin as a part of combined antihypertensive therapy.,Diuretics,Bronchial Hyperreactivity
An automatically balancing isolation amplifier for the decoupling of measuring systems with high impedances.,Hydrogen-Ion Concentration,Prospective Studies
Medical aspects of hypogonadism.,Cryptorchidism,Lathyrus
"Electrophysiological and morphological investigations on the neuromuscular junction of the hermit crab, Eupagurus bernhardus.",Anomura,Lens Subluxation
The binding of penicillin antibiotics to a human liver protein.,Dicloxacillin,"Pregnancy, Prolonged"
Effects of external and internal arthropod parasites on domestic livestock production.,"Animals, Domestic",Colonialism
Therapy of coronary heart disease.,Coronary Disease,Financial Audit
"Austrian Dermatological Society. Scientific session Dec. 10, 1977 in Vienna.",Photography,"Genes, Helminth"
Sexual activity in men with cryptorchidism (author's transl).,Cryptorchidism,Laryngoscopes
Behavior of O-glycosyl and O-phosphoryl proteins in alkaline solution.,Alanine,Tritium
"The biochemistry of the uptake, storage, and release of catecholamines.",Adenosine Triphosphate,Trichloroacetic Acid
Differences in the pH activity profile of human and monkey salivary lysozyme.,Macaca fascicularis,Rural Health Services
Cardiac valve replacement: improved survival related to air exclusion and myocardial protection.,Aortic Valve,Thermogenesis
Systematic purification of five glycosidases from Streptococcus (Diplococcus) pneumoniae.,Neuraminidase,"tat Gene Products, Human Immunodeficiency Virus"
Adverse effects of the drugs most frequently administered to the elderly--Part II.,Antiparkinson Agents,Ligustrum
Potassium uniport and ATP synthesis in Halobacterium halobium.,Hydrogen-Ion Concentration,Infertility
Interaction of steroids with D-amino acid oxidase.,Kidney,Pemphigoid Gestationis
Loss of histochemically demonstrable catecholamines in the glomus cells of the carotid body after alpha-methyl-para-tyrosine treatment.,Catecholamines,"Enhancer Elements, Genetic"
Detection of circulating immune complexes with a modified Raji cell technique.,Burkitt Lymphoma,Mucociliary Clearance
"The patient with bacterial infection in the hospital. Report from the 1st International TV-Satellite Conference, Germany, Austria, Switzerland, U.S.A. on 27 February 1978.",Cephalosporins,Delftia
Formation of beta-lactamase in Bacteroides fragilis: cell-bound and extracellular activity.,Isoelectric Focusing,Polyvinyls
Aspartate aminotransferase. Determination of the active site occupancy pattern indicates independent transamination of the two subunits.,Aspartate Aminotransferases,Ciliophora Infections
Lipogenesis in isolated intramuscular adipose tissue from four bovine muscles.,Acetyl-CoA Carboxylase,Hyacinthus
Adsorption as a possible limitation in solubility determination.,Solubility,"Jaundice, Neonatal"
Bovine liver dihydrofolate reductase: purification and properties of the enzyme.,Antigen-Antibody Reactions,Middle East Respiratory Syndrome Coronavirus
Polymorphism of disopyramide.,Chemical Phenomena,Multiprotein Complexes
Analysis of carrier ampholytes by ion exchange chromatography.,Indicators and Reagents,Paclitaxel
The binding of complement by complexes formed between a rabbit antibody and oligosaccharides of increasing size.,Complement System Proteins,Calcium Compounds
Determinants of red cell sickling. Effects of varying pH and of increasing intracellular hemoglobin concentration by osmotic shrinkage.,Hydrogen-Ion Concentration,Tetraploidy
The gas chromatographic analysis of the diastereoisomeric forms present in some phenylalkanolamines proceedings.,Stereoisomerism,United States Substance Abuse and Mental Health Services Administration
"Metabolism of sudoxicam by the rat, dog, and monkey.",Dogs,Lipoxins
Studies on the pathogenesis of dengue hemorrhagic fever: Hemodynamic alteration and effect of alpha blocking agent.,Dengue,Cyclams
"Diamine oxydase in rabbit small intestine: separations from a soluble monoamine oxidase, properties and pathophysiological significance in intestinal ischemia.",Drug Stability,"Dictionaries, Chemical as Topic"
"Neurotensin receptor binding, regional and subcellular distributions favor transmitter role.",In Vitro Techniques,Pomegranate
The mosaic of nerve cells in the mammalian retina.,Haplorhini,Taq Polymerase
The use of tears for diagnosis of GM1 gangliosidosis.,Drug Stability,Cyclic AMP Response Element Modulator
Alpha- and beta-cephalotoxin: two paralysing proteins from posterior salivary glands of Octopus vulgaris.,Mollusk Venoms,"Hospital Bed Capacity, 100 to 299"
"Enzymic reactions of fatty acid hydroperoxides in extracts of potato tuber. II. Conversion of 9- and 13-hydroperoxy-octadecadienoic acids to monohydroxydienoic acid, epoxyhydroxy- and trihydroxymonoenoic acid derivatives.","Fatty Acids, Unsaturated",TNF Receptor-Associated Factor 3
